distance ,density1,density2,density3
11.25,0.210714,0.10102,0.12602
11.35,0.169388,0.126531,0.128571
11.45,0.119388,0.233673,0.182653
11.55,0.120408,0.17602,0.221939
11.65,0.10051,0.120918,0.24949
11.75,0.148469,0.167347,0.169388
11.85,0.0933673,0.0877551,0.113265
11.95,0.0372449,0.0872449,0.0846939
12.05,0.0887755,0.103571,0.133673
12.15,0.123469,0.113265,0.162755
12.25,0.0969388,0.0816327,0.17449
12.35,0.120408,0.17398,0.170408
12.45,0.103571,0.114796,0.135204
12.55,0.194898,0.0964286,0.0653061
12.65,0.161224,0.129082,0.104592
12.75,0.111735,0.118367,0.102041
12.85,0.119388,0.132143,0.0852041
12.95,0.106122,0.14898,0.110714
13.05,0.133163,0.0846939,0.12602
13.15,0.145408,0.115306,0.207653
13.25,0.122449,0.172959,0.0989796
13.35,0.160204,0.180612,0.109184
13.45,0.176531,0.130102,0.171939
13.55,0.167857,0.0816327,0.172959
13.65,0.102041,0.119898,0.201531
13.75,0.111224,0.147959,0.159694
13.85,0.12449,0.173469,0.119388
13.95,0.220408,0.144388,0.0443878
14.05,0.167857,0.168878,0.10051
14.15,0.201531,0.129082,0.113265
14.25,0.163776,0.193367,0.185714
14.35,0.108163,0.222449,0.163265
14.45,0.119388,0.213265,0.187755
14.55,0.114796,0.125,0.194898
14.65,0.129082,0.106122,0.232143
14.75,0.139796,0.0984694,0.138776
14.85,0.176531,0.118878,0.10102
14.95,0.0688776,0.109694,0.0954082
15.05,0.077551,0.0637755,0.0826531
15.15,0.0831633,0.0892857,0.0841837
15.25,0.112755,0.134184,0.117347
15.35,0.121939,0.163265,0.104082
15.45,0.154082,0.192347,0.0505102
15.55,0.107143,0.137755,0.0795918
15.65,0.132143,0.0505102,0.183163
15.75,0.17602,0.0387755,0.175
15.85,0.134184,0.0530612,0.196939
15.95,0.111735,0.113776,0.129082
16.05,0.12398,0.221429,0.0836735
16.15,0.144388,0.190306,0.15
16.25,0.145918,0.239286,0.109184
16.35,0.103571,0.247449,0.0688776
16.45,0.112245,0.141327,0.104082
16.55,0.119388,0.159184,0.134184
16.65,0.195408,0.194388,0.139286
16.75,0.232653,0.165306,0.156122
16.85,0.203061,0.177041,0.201531
16.95,0.158163,0.191327,0.247959
17.05,0.157653,0.116327,0.243878
17.15,0.2,0.176531,0.219898
17.25,0.133673,0.132653,0.242857
17.35,0.165306,0.0852041,0.206122
17.45,0.116837,0.134184,0.202551
17.55,0.0989796,0.12602,0.133673
17.65,0.0683673,0.0673469,0.0852041
17.75,0.125,0.0586735,0.0673469
17.85,0.0790816,0.0704082,0.0821429
17.95,0.103571,0.0602041,0.0933673
18.05,0.12449,0.0484694,0.077551
18.15,0.14949,0.0760204,0.0744898
18.25,0.0913265,0.107653,0.0872449
18.35,0.0882653,0.143878,0.0979592
18.45,0.154082,0.116837,0.0831633
18.55,0.137755,0.202041,0.0943878
18.65,0.142347,0.121429,0.0969388
18.75,0.179082,0.133163,0.129592
18.85,0.145918,0.157143,0.0857143
18.95,0.134184,0.143878,0.131633
19.05,0.169388,0.211735,0.128061
19.15,0.135204,0.263265,0.146939
19.25,0.114796,0.210204,0.145918
19.35,0.173469,0.168878,0.198469
19.45,0.127551,0.193367,0.143367
19.55,0.138265,0.197449,0.263776
19.65,0.22398,0.178061,0.373469
19.75,0.27602,0.151531,0.152041
19.85,0.208673,0.14949,0.17398
19.95,0.210204,0.133163,0.152041
20.05,0.0964286,0.0586735,0.103571
20.15,0.0739796,0.0591837,0.0836735
20.25,0.072449,0.0336735,0.162755
20.35,0.0744898,0.0540816,0.0964286
20.45,0.125,0.115816,0.0969388
20.55,0.115816,0.145918,0.159694
20.65,0.140306,0.19949,0.111224
20.75,0.094898,0.117347,0.0816327
20.85,0.0602041,0.115816,0.0969388
20.95,0.0459184,0.0729592,0.094898
21.05,0.072449,0.0260204,0.108163
21.15,0.052551,0.0433673,0.0790816
21.25,0.0428571,0.0219388,0.0352041
21.35,0.0397959,0.0326531,0.0459184
21.45,0.0505102,0.0260204,0.025
21.55,0.0790816,0.510204,0.0530612
21.65,0.123469,0.0954082,0.0586735
21.75,0.153061,0.233163,0.15
21.85,0.215306,0.24949,0.207653
21.95,0.276531,0.32551,0.301531
22.05,0.451531,0.507653,0.445918
22.15,0.44949,0.438776,0.352041
22.25,0.304592,0.314796,0.308673
22.35,0.135204,0.108673,0.134184
22.45,0.052551,0.0877551,0.0790816
22.55,0.0678571,0.0673469,0.0790816
22.65,0.0545918,0.047449,0.10051
22.75,0.0770408,0.0647959,0.0908163
22.85,0.0780612,0.107143,0.114796
22.95,0.160714,0.157143,0.160204
23.05,0.225,0.239286,0.187245
23.15,0.181122,0.182143,0.136224
23.25,0.122959,0.117857,0.142347
23.35,0.0627551,0.0122449,0.0367347
23.45,0.0153061,0,0.0127551
23.55,0.00969388,0,0.0158163
23.65,0.0122449,0,0
23.75,0,0,0
23.85,0,0,0
23.95,0,0,0
24.05,0,0,0
24.15,0,0,0
24.25,0,0,0
24.35,0,0,0
24.45,0,0,0
24.55,0,0,0
24.65,0,0,0
24.75,0,0,0
24.85,0,0,0
24.95,0,0,0
25.05,0,0,0
25.15,0,0,0
25.25,0,0,0
25.35,0,0,0
25.45,0,0,0
25.55,0,0,0
25.65,0,0,0
25.75,0,0,0
25.85,0,0,0
25.95,0,0,0
26.05,0,0,0
26.15,0,0,0
26.25,0,0,0
26.35,0,0,0
26.45,0,0,0
26.55,0,0,0
26.65,0,0,0
26.75,0,0,0
26.85,0,0,0
26.95,0,0,0
27.05,0,0,0
27.15,0,0,0
27.25,0,0,0
27.35,0,0,0
27.45,0,0,0
